Food_Item,Calories,Protein,Category,Health_Benefit
Oatmeal,150,5,Breakfast,High in fiber and heart-healthy
Grilled Chicken Breast,165,31,Protein,Excellent source of lean protein for muscle repair
Spinach,23,3,Vegetable,Rich in iron and vitamins A and C
Greek Yogurt,100,10,Dairy,Probiotics for gut health and high protein
Almonds,160,6,Snack,Healthy fats and vitamin E
Salmon,200,22,Protein,Omega-3 fatty acids for brain health
Quinoa,120,4,Grain,Complete protein with all essential amino acids
Blueberries,85,1,Fruit,High in antioxidants to combat oxidative stress
Sweet Potato,90,2,Vegetable,Complex carbohydrates and beta-carotene
Broccoli,34,3,Vegetable,High in fiber and vitamin K
